"subject_id","age_group","skip_count","semantic_similarity"
"68a601e5","adult",0,0.891885287266926
"6b0d32de","adult",0,0.882893479018723
"6b6a0615","adult",0,0.890300917425074
"6b88b12b","adult",0,0.901376972577565
"6bbfdf24","adult",0,0.89337903520606
"6d6bafd0","adult",0,0.902007782585891
"703b7489","child",0,0.929332185803402
"71a495dc","adult",0,0.928589348077246
"71ae3bcf","adult",0,0.910241946423304
"71cfb1b7","adult",0,0.864405091409654
"71dedea3","adult",0,0.880861259525827
"725adbff","adult",0,0.895303892138718
"73f24da8","child",0,0.91394406974586
"7458737f","adult",0,0.901491674082091
"75143402","adult",0,0.895301614325651
"751693f1","adult",0,0.89436080927691
"75a15c38","adult",0,0.858268106623102
"75c11a19","adult",0,0.887237959630639
"7615bf28","adult",0,0.888641226658639
"76539227","adult",0,0.902528888101999
"782856d2","adult",0,0.894319010463095
"7934cf4b","adult",0,0.887856482528784
"794d7026","child",0,0.929114715679913
"79c7df04","adult",0,0.890349283217152
"79ca754e","adult",0,0.894674345498303
"7acb1ec1","adult",0,0.912120957620733
"7bbfff39","adult",0,0.91954039372587
"7bca7360","adult",0,0.872800899083234
"7c4c0bc3","adult",0,0.876216949208503
"7f22d35e","adult",0,0.890522066599683
"7f4ead86","adult",0,0.871972119819048
"7fe03558","adult",0,0.904209052023821
"8015f5c3","adult",0,0.881060399120718
"80b3062c","adult",0,0.903249046804353
"827e38b8","adult",0,0.909776839697795
"8386612e","adult",0,0.895135178667878
"83ae33e3","adult",0,0.86783974266002
"83f3ad29","adult",0,0.897721886351219
"84a3f697","adult",0,0.874322486655171
"8534853b","adult",0,0.890175861373757
"85abf4ec","adult",0,0.905953308748227
"85e8f070","adult",0,0.899572746332253
"882ec369","adult",0,0.888608139988214
"88ca5370","child",4,0.938483763557277
"88f1d546","adult",0,0.892235420766035
"892dd9f5","adult",0,0.887758378166601
"893593ef","adult",0,0.918492336346474
"8b057226","adult",0,0.891532475932035
"8b9419a8","adult",0,0.88450275488195
"8d53864b","adult",0,0.90439729478943
"90f37f68","adult",0,0.884110212197977
"91c2b6e7","adult",0,0.91008328100075
"9209bd73","child",1,0.919816438640548
"98087dc0","adult",0,0.890626733455875
"98386674","adult",0,0.91301526538375
"98c4d8ee","adult",0,0.877882560994365
"9a0ce639","adult",0,0.913903505849262
"9b9ce730","adult",0,0.8951686506122
"9c0a7ed0","adult",0,0.904333155731263
"9c4cdfd2","adult",0,0.895519098150725
"9c73764d","adult",0,0.898488935376723
"9c7e809f","adult",0,0.884017083817776
"9da4b08f","adult",0,0.905881795866839
"9dd6cc5f","adult",0,0.887891985430301
"a015351a","adult",0,0.889390373578592
"a0550092","adult",0,0.889252682527168
"a15191b1","adult",0,0.876051602930435
"a3984f0f","adult",0,0.867431013634549
"a51d803c","adult",0,0.896692323616484
"a56ca355","adult",0,0.845502778041351
"a6db2874","adult",0,0.901219744527665
"a6f50508","adult",0,0.886722524038736
"a6f9a5a2","adult",0,0.941847642652571
"a8adf49b","adult",0,0.892999666606411
"aa35da33","child",12,NA
"ab37c266","adult",0,0.874922485868457
"ab5bc34f","adult",0,0.880196347109616
"ab65332f","adult",0,0.94642452545161
"abec3430","adult",0,0.907970184786682
"acb9d189","adult",0,0.92656716471633
"acd025be","adult",0,0.881402098213108
"ad0d1d9e","child",0,0.930556702314569
"b059b7d9","adult",0,0.888817017852406
"b06949e5","adult",0,0.937131903151948
"b28f0cbe","adult",0,0.884156072488587
"b59594b6","child",0,0.911926948446627
"b6c308a9","adult",0,0.92228842440607
"b88a5644","adult",0,0.87857088861301
"b9107494","adult",0,0.888298844189483
"b99da8af","adult",0,0.89551385610189
"b9d7db70","adult",0,0.884322317531335
"ba519bcd","adult",0,0.921437911688513
"bc07f069","adult",0,0.922629249810271
"bc136ecb","child",7,0.913909194395368
"bc83b8b5","adult",0,0.92902098013799
"bd077583","adult",0,0.873553879581418
"bd1da865","adult",0,0.907220813077379
"bd266520","adult",0,0.898554747732078
"bd271f0b","adult",0,0.904459309043181
"bea7f130","adult",0,0.905551472606947
"c270be34","adult",0,0.894960488662484
"c4b9ce42","adult",0,0.889080879308269
"c51795d7","adult",0,0.900044911253758
"c845fd5e","adult",0,0.914064163235077
"c90711c9","adult",0,0.897819222676984
"c932c071","adult",0,0.932659759543254
"cad1a7ee","adult",0,0.873009948370746
"cb867663","child",0,0.920220305186383
"ccbfb33a","adult",0,0.892606930827819
"ce31c007","adult",0,0.872194343874143
"cf250a72","adult",0,0.898151975984373
"cfc0358b","adult",0,0.91488864417704
"d042392e","adult",0,0.901382894529363
"d14b9456","adult",0,0.913902909388018
"d36fa079","adult",0,0.917660472213903
"d59302b4","adult",0,0.887993480624268
"d87b35e6","adult",0,0.889320109328243
"d8f667e4","adult",0,0.88203091696247
"da0e1d83","adult",0,0.891703937631794
"da5cd462","adult",0,0.887206390001308
"db1dd2de","adult",0,0.898983633786901
"db409246","adult",0,0.900025620766528
"de13d0a9","adult",0,0.874329677070473
"dfdfe900","child",0,0.940268481087737
"e0426f8f","adult",0,0.888928222769658
"e0adad2b","adult",0,0.914415871668184
"e0cddcc7","adult",0,0.877496187871993
"e1fbcbc3","adult",0,0.915710214533608
"e250c2e4","adult",0,0.91557882234445
"e4313676","adult",0,0.891824921508703
"e4af06ff","adult",0,0.901922444477271
"e657147a","adult",0,0.893754955662778
"e79f0335","adult",0,0.876168189957585
"e868e470","adult",0,0.889973304974684
"e8c37b3c","adult",0,0.907530909287425
"e8ec722e","adult",0,0.89616265173692
"ed24a73c","adult",0,0.899224755129628
"ed8c1605","adult",0,0.904896211063345
"f00e9893","adult",11,NA
"f1449625","adult",0,0.913938196276446
"f1f018e8","child",1,0.912513676895373
"f234ccbe","adult",0,0.872856584277496
"f29a55ac","child",2,0.903485734914893
"f2b497bf","adult",0,0.889117087427181
"f3acfb51","adult",0,0.887040210562609
"f618d226","adult",0,0.900344824095578
"f6fe9ceb","adult",0,0.890100196626173
"f7820dba","adult",0,0.926601316479985
"f825dc06","adult",0,0.857599992672908
"f826d813","adult",0,0.905431562151704
